w[0],w[1],w[2],w[3],b,count
-43.286835,-36.241062,-35.167606,-2.229094,40.000000,72
-40.895134,-31.684563,-40.156406,-5.127794,41.000000,59
-42.283833,-36.561863,-33.679008,-4.786004,42.000000,15
-47.764633,-28.379963,-33.400829,-9.818304,43.000000,70
-48.284134,-25.116663,-36.490330,-8.833405,42.000000,10
-51.882633,-38.775963,-18.885130,-11.326105,43.000000,5
-50.662834,-36.677761,-22.080530,-11.197675,44.000000,18
-49.405636,-31.804661,-27.366631,-17.071775,45.000000,22
-47.374638,-29.952662,-30.378731,-17.068773,46.000000,18
-47.703838,-25.497461,-34.950531,-16.079973,45.000000,109
-50.846138,-38.533962,-19.273232,-16.741623,46.000000,12
-52.426037,-33.826363,-27.191832,-15.192923,45.000000,14
-50.975937,-30.219662,-31.247532,-16.789522,46.000000,31
-48.781635,-25.669361,-36.223534,-19.514923,47.000000,3
-47.481636,-35.937160,-33.270535,-13.651123,46.000000,6
-45.891235,-33.725060,-36.388836,-13.768373,47.000000,119
-46.410706,-30.461760,-39.478336,-12.783453,46.000000,25
-49.641205,-37.675259,-27.835037,-13.729583,47.000000,15
-47.446903,-33.124958,-32.811035,-16.454983,48.000000,109
-45.055202,-28.568459,-37.799835,-19.353683,49.000000,10
-48.197502,-41.604958,-22.122536,-20.015333,50.000000,1
-48.768101,-41.580158,-23.364635,-19.453234,49.000000,9
-47.278500,-38.151360,-27.395535,-20.879133,50.000000,36
-47.798000,-34.888062,-30.485035,-19.894234,49.000000,26
-47.636921,-28.425661,-38.842335,-18.372633,48.000000,1
-46.850021,-37.991962,-35.055634,-10.869233,47.000000,14
-45.062523,-33.211964,-40.191833,-14.105433,48.000000,32
-47.901623,-39.841965,-29.706932,-14.526564,49.000000,71
-48.230824,-35.386765,-34.278732,-13.537764,48.000000,47
-48.750324,-32.123466,-37.368233,-12.552864,47.000000,60
-46.732624,-30.325266,-40.326332,-12.342964,48.000000,32
-48.739223,-37.044266,-31.310131,-12.242979,49.000000,73
-49.258724,-33.780968,-34.399632,-11.258080,48.000000,35
-47.227726,-31.928968,-37.411732,-11.255076,49.000000,46
-46.440826,-41.495270,-33.625031,-3.751677,48.000000,14
-52.865524,-31.964169,-33.602188,-10.603376,49.000000,118
-53.194763,-27.508968,-38.173988,-9.614576,48.000000,246
-53.714233,-24.245668,-41.263489,-8.629656,47.000000,7
-55.655132,-32.930470,-32.108490,-7.689166,48.000000,108
-53.975231,-28.723669,-36.648289,-10.082266,49.000000,20
-53.188332,-38.289970,-32.861588,-2.578866,48.000000,6
-51.960430,-34.259071,-37.505089,-6.491366,49.000000,25
-49.929432,-32.407070,-40.517189,-6.488363,50.000000,12
-52.768532,-39.037071,-30.032288,-6.909493,51.000000,18
-51.035431,-35.082672,-34.773487,-9.411193,52.000000,41
-51.554932,-31.819372,-37.862988,-8.426292,51.000000,8
-49.163231,-27.262873,-42.851788,-11.324992,52.000000,14
-50.560032,-36.932671,-33.386589,-11.673712,53.000000,15
-51.079533,-33.669373,-36.476089,-10.688812,52.000000,165
-49.061832,-31.871172,-39.434189,-10.478912,53.000000,28
-49.391033,-27.415972,-44.005989,-9.490112,52.000000,2
-54.124134,-33.594872,-32.617989,-10.564213,53.000000,37
-52.336636,-28.814871,-37.754189,-13.800413,54.000000,33
-52.856136,-25.551571,-40.843689,-12.815514,53.000000,5
-57.342236,-38.840469,-23.534988,-16.034914,54.000000,5
-55.761234,-37.971378,-25.848789,-15.210794,55.000000,17
-55.600155,-31.508978,-34.206089,-13.689195,54.000000,65
-55.929394,-27.053778,-38.777889,-12.700395,53.000000,3
-59.625492,-40.731678,-21.198389,-15.318495,54.000000,1
-60.555191,-36.934578,-25.841290,-15.022795,53.000000,60
-59.347191,-32.860176,-30.604790,-17.635695,54.000000,23
-59.866661,-29.596876,-33.694290,-16.650774,53.000000,135
-57.218761,-39.734276,-32.363289,-11.180075,52.000000,17
-55.024460,-35.183975,-37.339287,-13.905475,53.000000,77
-52.632759,-30.627476,-42.328087,-16.804174,54.000000,44
-56.383060,-44.086075,-24.734886,-19.581274,55.000000,5
-54.352062,-42.234074,-27.746986,-19.578272,56.000000,21
-53.707344,-37.627872,-36.093987,-16.868372,55.000000,57
-54.226845,-34.364571,-39.183487,-15.883472,54.000000,34
-54.746346,-31.101271,-42.272987,-14.898573,53.000000,25
-53.959446,-40.667572,-38.486286,-7.395173,52.000000,162
-54.288647,-36.212372,-43.058086,-6.406373,51.000000,39
-57.127747,-42.842373,-32.573185,-6.827503,52.000000,9
-56.390148,-37.989872,-37.371784,-12.493403,53.000000,130
-54.372448,-36.191673,-40.329884,-12.283504,54.000000,9
-54.701687,-31.736473,-44.901684,-11.294703,53.000000,12
-59.078987,-37.253174,-33.962685,-11.702904,54.000000,2
-59.598488,-33.989876,-37.052185,-10.718004,53.000000,32
-60.117989,-30.726576,-40.141685,-9.733105,52.000000,83
-57.470089,-40.863976,-38.810684,-4.262405,51.000000,74
